Year,Lat,Lon,Lepto_Y_N
2017,-26.936,30.875,No Leptocybe
2017,-26.81120991,30.55521318,No Leptocybe
2017,-26.80226445,30.57581617,No Leptocybe
2017,-26.827,30.518,No Leptocybe
2017,-27.44858478,30.81726064,No Leptocybe
2017,-26.83820928,30.64994009,No Leptocybe
2017,-27.52711699,30.80250927,No Leptocybe
2017,-26.9444739,30.83029605,No Leptocybe
2017,-26.74897802,30.62821824,No Leptocybe
2017,-27.61856351,30.82535647,No Leptocybe
2017,-27.8600707,31.05239145,No Leptocybe
2017,-27.46308308,30.67725881,No Leptocybe
2017,-27.81127582,31.30247689,No Leptocybe
2017,-27.54843335,30.50284878,No Leptocybe
2017,-27.145,30.958,No Leptocybe
2017,-27.29819853,30.73846229,No Leptocybe
2017,-27.43170959,30.49571612,No Leptocybe
2016,-29.3928769,30.10567015,No Leptocybe
2016,-29.2510522,30.20533515,No Leptocybe
2016,-30.2209596,30.7796729,No Leptocybe
2016,-30.32875549,30.56371887,No Leptocybe
2016,-30.29986405,30.4375969,No Leptocybe
2016,-29.75000891,29.76455069,No Leptocybe
2016,-29.77662891,29.76596125,No Leptocybe
2016,-29.33738069,30.39185685,No Leptocybe
2016,-29.33443067,30.39444225,No Leptocybe
2016,-29.89710321,29.9102766,No Leptocybe
2016,-29.84861,29.924683,No Leptocybe
2016,-28.97352925,30.62796342,No Leptocybe
2016,-29.30969023,30.2002407,No Leptocybe
2016,-29.91019576,29.8147508,No Leptocybe
2016,-29.95474984,29.76520393,No Leptocybe
2016,-29.83198246,29.6984222,No Leptocybe
2016,-29.83617846,29.69376422,No Leptocybe
2016,-29.97086333,30.06802614,No Leptocybe
2016,-29.95652629,30.03814281,No Leptocybe
2016,-25.79536896,30.87979024,No Leptocybe
2016,-25.7348344,30.77661237,No Leptocybe
2016,-25.56635394,30.6557447,No Leptocybe
2016,-25.56853903,30.51570958,No Leptocybe
2016,-30.67936872,29.84410371,No Leptocybe
2016,-30.70370298,29.85718209,No Leptocybe
2016,-30.67896478,29.87350144,No Leptocybe
2016,-25.52640035,30.29276969,No Leptocybe
2016,-30.33852525,30.21324452,No Leptocybe
2016,-30.35448211,30.21016682,No Leptocybe
2016,-30.19995612,30.22593243,No Leptocybe
2016,-25.77875611,31.21409506,No Leptocybe
2016,-26.96725,30.689221,No Leptocybe
2016,-26.945149,30.541308,No Leptocybe
2016,-29.20742202,30.51712313,No Leptocybe
2016,-29.20949901,30.42674422,No Leptocybe
2016,-24.92567717,31.0259075,No Leptocybe
2016,-25.61371642,30.8217603,No Leptocybe
2016,-25.83002528,30.5118786,No Leptocybe
2016,-29.62917964,30.0820333,No Leptocybe
