Year,Lat,Lon,Sirex_Presence
2012,-22.88809,30.27898,No Sirex
2012,-22.91556,30.2831,No Sirex
2012,-22.92356,30.31979,No Sirex
2012,-22.99786,29.86712,No Sirex
2012,-23.00436,30.16262,No Sirex
2012,-23.008,30.24404,No Sirex
2012,-23.01642,30.13493,No Sirex
2012,-23.01903,30.20792,No Sirex
2012,-23.01864,30.17594,No Sirex
2012,-23.02383,30.11802,No Sirex
2012,-23.04253,30.26858,No Sirex
2012,-23.04972,30.11302,No Sirex
2012,-23.75181,30.00701,No Sirex
2012,-23.79514,29.98419,No Sirex
2012,-23.802679,30.03023,No Sirex
2012,-23.81257,29.94335,No Sirex
2012,-23.82673,29.96094,No Sirex
2012,-23.84905,29.99138,No Sirex
2012,-23.87548,29.9736,No Sirex
2012,-23.9595,30.097,No Sirex
2012,-23.98604,30.09384,No Sirex
2012,-23.99352,30.12789,No Sirex
2012,-24.68698,30.83311,No Sirex
2012,-24.70487,30.83849,No Sirex
2012,-24.71235,30.819,No Sirex
2012,-24.76764,30.85742,No Sirex
2012,-24.78509,30.885,No Sirex
2012,-24.8007,30.86657,No Sirex
2012,-24.81431,30.84587,No Sirex
2012,-24.83232,30.69145,No Sirex
2012,-24.84155,30.8731,No Sirex
2012,-24.84452,30.80049,No Sirex
2012,-24.86797,30.73274,No Sirex
2012,-24.88618,30.69965,No Sirex
2012,-24.91356,30.70432,No Sirex
2012,-24.92224,30.6755,No Sirex
2012,-24.92959,30.69293,No Sirex
2012,-24.93936,30.75575,No Sirex
2012,-24.93544,30.92406,No Sirex
2012,-24.94359,30.75921,No Sirex
2012,-24.95559,30.78122,No Sirex
2012,-24.95772,30.82517,No Sirex
2012,-24.97877,30.82849,No Sirex
2012,-24.98508,30.73255,No Sirex
2012,-24.99909,30.7296,No Sirex
2012,-25.00081,30.79643,No Sirex
2012,-25.02042,30.82495,No Sirex
2012,-25.02264,30.81016,No Sirex
2012,-25.03227,30.92989,No Sirex
2012,-25.03398,30.85783,No Sirex
2012,-25.03396,30.77982,No Sirex
2012,-25.03849,30.90008,No Sirex
2012,-25.05017,30.86908,No Sirex
2012,-25.05388,30.8167,No Sirex
2012,-25.05594,30.79794,No Sirex
2012,-25.07833,30.76405,No Sirex
2012,-25.08154,30.89241,No Sirex
2012,-25.09454,30.81821,No Sirex
2012,-25.09827,30.70428,No Sirex
2012,-25.1132,30.64837,No Sirex
2012,-25.14805,30.98356,No Sirex
2012,-25.16876,30.65749,No Sirex
2012,-25.18264,30.73378,No Sirex
2012,-25.1918,30.68593,No Sirex
2012,-25.19048,30.94635,No Sirex
2012,-25.19937,30.72642,No Sirex
2012,-25.20058,30.60646,No Sirex
2012,-25.19855,30.84661,No Sirex
2012,-25.20312,30.57102,No Sirex
2012,-25.20291,30.97713,No Sirex
2012,-25.21362,30.54082,No Sirex
2012,-25.2061,30.75758,No Sirex
2012,-25.21547,30.93633,No Sirex
2012,-25.21306,30.9104,No Sirex
2012,-25.22312,30.62874,No Sirex
2012,-25.23473,30.90604,No Sirex
2012,-25.23897,30.48317,No Sirex
2012,-25.24486,30.49329,No Sirex
2012,-25.24949,30.85855,No Sirex
