Id,x_m,y_m
1,2148466.172,-4111908.93
2,2148466.172,-4114163.579
3,2154032.147,-4107400.989
4,2161453.447,-4109654.734
5,2167019.421,-4102894.857
6,2174440.72,-4116418.681
7,2187427.994,-4132217.113
8,2200415.268,-4109654.734
9,2211547.217,-4116418.681
10,2270917.612,-4100642.467
11,2272772.937,-4102894.857
12,2042712.656,-4033278.757
13,2044567.981,-4033278.757
14,2048278.631,-4037757.248
15,2050133.956,-4039997.153
16,2048278.631,-4055688.859
17,2050133.956,-4031040.172
18,2050133.956,-4033278.757
19,2050133.956,-4035517.782
20,2051989.28,-4035517.782
21,2050133.956,-4046719.517
22,2050133.956,-4060176.189
23,2051989.28,-4046719.517
24,2051989.28,-4055688.859
25,2053844.605,-4055688.859
26,2053844.605,-4062420.52
27,2053844.605,-4066910.516
28,2055699.93,-4031040.172
29,2055699.93,-4042237.5
30,2055699.93,-4064665.297
31,2059410.58,-4037757.248
32,2059410.58,-4075895.856
33,2061265.905,-4039997.153
34,2063121.229,-4037757.248
35,2064976.554,-4039997.153
36,2092806.427,-4033278.757
37,2094661.752,-4039997.153
38,2098372.401,-4033278.757
39,2098372.401,-4035517.782
40,2098372.401,-4039997.153
41,2098372.401,-4053445.859
42,2100227.727,-4057932.303
43,2100227.727,-4037757.248
44,2100227.727,-4053445.859
45,2102083.051,-4037757.248
46,2103938.376,-4037757.248
47,2103938.376,-4078143.307
48,2105793.701,-4035517.782
49,2105793.701,-4051203.303
50,2107649.025,-4048961.189
51,2107649.025,-4075895.856
52,2109504.351,-4071402.295
53,2111359.676,-4071402.295
54,2113215,-4048961.189
55,2116925.65,-4051203.303
56,2116925.65,-4048961.189
57,2118780.974,-4046719.517
58,2118780.974,-4048961.189
59,2118780.974,-4075895.856
60,2120636.3,-4037757.248
61,2124346.949,-4037757.248
62,2124346.949,-4044478.288
63,2126202.274,-4066910.516
64,2128057.599,-4035517.782
65,2126202.274,-4053445.859
66,2129912.923,-4033278.757
67,2128057.599,-4037757.248
68,2129912.923,-4057932.303
69,2129912.923,-4078143.307
70,2131768.249,-4035517.782
71,2133623.574,-4035517.782
72,2135478.898,-4033278.757
73,2137334.223,-4033278.757
74,2137334.223,-4057932.303
75,2141044.873,-4075895.856
76,2141044.873,-4080391.204
77,2141044.873,-4084888.344
78,2142900.198,-4046719.517
79,2142900.198,-4082639.55
80,2150321.498,-4066910.516
81,2148466.172,-4082639.55
82,2154032.147,-4055688.859
83,2154032.147,-4057932.303
84,2155887.472,-4091637.414
85,2163308.771,-4057932.303
86,2161453.447,-4060176.189
87,2165164.096,-4089387.275
88,2170730.07,-4033278.757
89,2167019.421,-4066910.516
90,2172585.396,-4046719.517
91,2172585.396,-4071402.295
92,2174440.72,-4091637.414
93,2174440.72,-4073648.852
94,2178151.37,-4033278.757
95,2178151.37,-4064665.297
96,2183717.345,-4035517.782
97,2187427.994,-4080391.204
98,2191138.643,-4057932.303
99,2192993.969,-4064665.297
100,2192993.969,-4078143.307
101,2252364.363,-4044478.288
102,2259785.663,-4071402.295
103,2257930.338,-4062420.52
104,2270917.612,-4080391.204
105,2274628.262,-4028802.026
106,2274628.262,-4078143.307
107,2276483.587,-4033278.757
108,2278338.912,-4037757.248
109,2282049.561,-4042237.5
110,2287615.536,-4035517.782
111,2296892.16,-4037757.248
112,2298747.485,-4028802.026
113,2308024.109,-4039997.153
114,2309879.434,-4057932.303
115,2311734.759,-4046719.517
116,2319156.058,-4055688.859
117,2317300.734,-4066910.516
118,2317300.734,-4080391.204
119,2317300.734,-4084888.344
120,2321011.383,-4066910.516
121,2317300.734,-4082639.55
122,2333998.657,-4037757.248
123,2332143.332,-4039997.153
124,2339564.632,-4042237.5
125,2363683.854,-4069156.183
126,2365539.179,-4039997.153
127,2367394.505,-4039997.153
128,2367394.505,-4042237.5
129,2382237.103,-4033278.757
130,2387803.078,-4069156.183
131,2398935.027,-4039997.153
132,2398935.027,-4044478.288
133,2404501.001,-4055688.859
134,2423054.25,-4048961.189
135,2423054.25,-4031040.172
136,2430475.549,-4057932.303
137,2430475.549,-4055688.859
138,2434186.199,-4055688.859
139,2458305.421,-4039997.153
140,2463871.396,-4039997.153
141,2465726.721,-4039997.153
142,2463871.396,-4053445.859
143,2465726.721,-4053445.859
144,2469437.37,-4037757.248
145,2473148.021,-4037757.248
146,2560348.288,-4035517.782
147,2564058.938,-4035517.782
148,2565914.263,-4033278.757
149,2565914.263,-4035517.782
150,2573335.563,-4035517.782
151,2586322.836,-4035517.782
152,2601165.435,-4035517.782
153,2660535.83,-4031040.172
154,2693931.677,-4035517.782
155,2703208.301,-4039997.153
156,2710629.601,-4031040.172
157,2718050.901,-4042237.5
158,2721761.55,-4035517.782
159,2742170.123,-4042237.5
160,2747736.097,-4048961.189
161,2755157.397,-4033278.757
162,2758868.046,-4033278.757
163,2764434.021,-4039997.153
164,2764434.021,-4055688.859
165,2764434.021,-4057932.303
166,2773710.646,-4035517.782
167,2842357.665,-4035517.782
168,2046423.305,-4004211.324
169,2048278.631,-4017617.877
170,2046423.305,-4017617.877
171,2046423.305,-4022090.222
172,2046423.305,-4026564.319
173,2048278.631,-4015382.36
174,2048278.631,-4026564.319
175,2048278.631,-4024327.052
176,2050133.956,-4015382.36
177,2050133.956,-4019853.83
178,2050133.956,-4022090.222
179,2050133.956,-4024327.052
180,2053844.605,-3993051.166
181,2051989.28,-4019853.83
182,2051989.28,-4024327.052
183,2051989.28,-4026564.319
184,2053844.605,-4019853.83
185,2053844.605,-4022090.222
186,2055699.93,-4024327.052
187,2055699.93,-4026564.319
188,2057555.254,-3975217.429
189,2059410.58,-4013147.28
190,2057555.254,-4019853.83
191,2057555.254,-4022090.222
192,2057555.254,-4024327.052
193,2057555.254,-4028802.026
194,2059410.58,-4019853.83
195,2063121.229,-4017617.877
196,2063121.229,-4008678.43
197,2066831.879,-3990820.437
198,2066831.879,-4008678.43
199,2068687.204,-3984130.843
5596,3230120.558,-2775764.04
201,2070542.529,-4026564.319
202,2072397.854,-4015382.36
203,2072397.854,-4017617.877
204,2074253.178,-4001978.424
205,2074253.178,-4006444.659
206,2070542.529,-4015382.36
207,2074253.178,-4017617.877
208,2076108.503,-4006444.659
209,2077963.829,-3984130.843
210,2077963.829,-3993051.166
211,2079819.153,-4017617.877
212,2079819.153,-4019853.83
213,2079819.153,-4031040.172
214,2081674.478,-4022090.222
215,2087240.452,-4008678.43
216,2094661.752,-3977445.136
217,2096517.076,-4008678.43
218,2096517.076,-4013147.28
219,2098372.401,-4008678.43
220,2098372.401,-4017617.877
221,2098372.401,-4019853.83
222,2100227.727,-3981901.842
223,2100227.727,-4015382.36
224,2100227.727,-4017617.877
225,2100227.727,-4019853.83
226,2102083.051,-4010912.638
227,2102083.051,-4017617.877
228,2102083.051,-4022090.222
229,2107649.025,-4015382.36
230,2107649.025,-4024327.052
231,2109504.351,-3990820.437
232,2109504.351,-3995282.33
233,2109504.351,-4013147.28
234,2109504.351,-4019853.83
235,2109504.351,-4026564.319
236,2111359.676,-3975217.429
237,2111359.676,-3990820.437
238,2111359.676,-3993051.166
239,2111359.676,-3995282.33
240,2111359.676,-4013147.28
241,2111359.676,-4015382.36
242,2111359.676,-4017617.877
243,2111359.676,-4024327.052
244,2113215,-4006444.659
245,2115070.325,-3979673.273
246,2115070.325,-4010912.638
247,2116925.65,-3972990.153
248,2116925.65,-3981901.842
249,2116925.65,-3990820.437
250,2116925.65,-4026564.319
251,2120636.3,-3979673.273
252,2118780.974,-3993051.166
253,2122491.625,-3979673.273
254,2120636.3,-3981901.842
255,2122491.625,-3993051.166
256,2122491.625,-4013147.28
257,2122491.625,-4019853.83
258,2124346.949,-4013147.28
259,2124346.949,-4019853.83
260,2126202.274,-4015382.36
261,2128057.599,-4019853.83
262,2128057.599,-3979673.273
263,2128057.599,-3984130.843
264,2128057.599,-4017617.877
265,2126202.274,-4017617.877
266,2129912.923,-4019853.83
267,2129912.923,-3970763.308
268,2131768.249,-3993051.166
269,2133623.574,-3993051.166
270,2135478.898,-4026564.319
271,2141044.873,-3977445.136
272,2141044.873,-3981901.842
273,2142900.198,-4006444.659
274,2142900.198,-3970763.308
275,2144755.523,-3988590.139
276,2144755.523,-4017617.877
277,2146610.847,-4015382.36
278,2150321.498,-3986360.274
279,2148466.172,-4017617.877
280,2148466.172,-4019853.83
281,2148466.172,-4028802.026
282,2154032.147,-3977445.136
283,2155887.472,-3986360.274
284,2155887.472,-4013147.28
285,2159598.121,-4004211.324
286,2165164.096,-3979673.273
287,2163308.771,-3981901.842
288,2163308.771,-4019853.83
289,2165164.096,-3981901.842
290,2165164.096,-3988590.139
291,2165164.096,-4013147.28
292,2167019.421,-3997513.927
293,2168874.745,-3988590.139
294,2174440.72,-3997513.927
295,2176296.045,-3984130.843
296,2176296.045,-3986360.274
297,2180006.694,-4024327.052
298,2183717.345,-3981901.842
299,2183717.345,-4017617.877
300,2185572.669,-4017617.877
301,2231955.79,-4008678.43
302,2233811.116,-4006444.659
303,2237521.765,-4019853.83
304,2241232.414,-3999745.958
305,2241232.414,-4001978.424
306,2243087.739,-4010912.638
307,2248653.714,-4006444.659
308,2250509.039,-4024327.052
309,2246798.389,-3997513.927
310,2259785.663,-4006444.659
311,2270917.612,-4015382.36
312,2274628.262,-3988590.139
