Id,x_m,y_m,Lat,Lon
1,2148466.172,-4111908.93,-34.61666667,19.3
2,2148466.172,-4114163.579,-34.63333333,19.3
3,2154032.147,-4107400.989,-34.58333333,19.35
4,2161453.447,-4109654.734,-34.6,19.41666667
5,2167019.421,-4102894.857,-34.55,19.46666667
6,2174440.72,-4116418.681,-34.65,19.53333333
7,2187427.994,-4132217.113,-34.76666667,19.65
8,2200415.268,-4109654.734,-34.6,19.76666667
9,2211547.217,-4116418.681,-34.65,19.86666667
10,2270917.612,-4100642.467,-34.53333333,20.4
11,2272772.937,-4102894.857,-34.55,20.41666667
12,2042712.656,-4033278.757,-34.03333333,18.35
13,2044567.981,-4033278.757,-34.03333333,18.36666667
14,2048278.631,-4037757.248,-34.06666667,18.4
15,2050133.956,-4039997.153,-34.08333333,18.41666667
16,2048278.631,-4055688.859,-34.2,18.4
17,2050133.956,-4031040.172,-34.01666667,18.41666667
18,2050133.956,-4033278.757,-34.03333333,18.41666667
19,2050133.956,-4035517.782,-34.05,18.41666667
20,2051989.28,-4035517.782,-34.05,18.43333333
21,2050133.956,-4046719.517,-34.13333333,18.41666667
22,2050133.956,-4060176.189,-34.23333333,18.41666667
23,2051989.28,-4046719.517,-34.13333333,18.43333333
24,2051989.28,-4055688.859,-34.2,18.43333333
25,2053844.605,-4055688.859,-34.2,18.45
26,2053844.605,-4062420.52,-34.25,18.45
27,2053844.605,-4066910.516,-34.28333333,18.45
28,2055699.93,-4031040.172,-34.01666667,18.46666667
29,2055699.93,-4042237.5,-34.1,18.46666667
30,2055699.93,-4064665.297,-34.26666667,18.46666667
31,2059410.58,-4037757.248,-34.06666667,18.5
32,2059410.58,-4075895.856,-34.35,18.5
33,2061265.905,-4039997.153,-34.08333333,18.51666667
34,2063121.229,-4037757.248,-34.06666667,18.53333333
35,2064976.554,-4039997.153,-34.08333333,18.55
36,2092806.427,-4033278.757,-34.03333333,18.8
37,2094661.752,-4039997.153,-34.08333333,18.81666667
38,2098372.401,-4033278.757,-34.03333333,18.85
39,2098372.401,-4035517.782,-34.05,18.85
40,2098372.401,-4039997.153,-34.08333333,18.85
41,2098372.401,-4053445.859,-34.18333333,18.85
42,2100227.727,-4057932.303,-34.21666667,18.86666667
43,2100227.727,-4037757.248,-34.06666667,18.86666667
44,2100227.727,-4053445.859,-34.18333333,18.86666667
45,2102083.051,-4037757.248,-34.06666667,18.88333333
46,2103938.376,-4037757.248,-34.06666667,18.9
47,2103938.376,-4078143.307,-34.36666667,18.9
48,2105793.701,-4035517.782,-34.05,18.91666667
49,2105793.701,-4051203.303,-34.16666667,18.91666667
50,2107649.025,-4048961.189,-34.15,18.93333333
51,2107649.025,-4075895.856,-34.35,18.93333333
52,2109504.351,-4071402.295,-34.31666667,18.95
53,2111359.676,-4071402.295,-34.31666667,18.96666667
54,2113215,-4048961.189,-34.15,18.98333333
55,2116925.65,-4051203.303,-34.16666667,19.01666667
56,2116925.65,-4048961.189,-34.15,19.01666667
57,2118780.974,-4046719.517,-34.13333333,19.03333333
58,2118780.974,-4048961.189,-34.15,19.03333333
59,2118780.974,-4075895.856,-34.35,19.03333333
